pair_id,original_drug_id,original_drug_name,side,atc_code,alternative_drug_id,alternative_drug_name,source_url,scraped_at
951846,DDInter14,Acetaminophen,B,L04A,DDInter103,Antilymphocyte immunoglobulin (horse),https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter106,Antithymocyte immunoglobulin (rabbit),https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter111,Apremilast,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter148,Azacitidine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter165,Baricitinib,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter166,Basiliximab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter172,Belatacept,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter173,Belimumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter240,Brodalumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter281,Canakinumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter342,Certolizumab pegol,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A; L01B,DDInter392,Cladribine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter461,Cytarabine (liposomal),https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L01B,DDInter487,Decitabine,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter564,Dimethyl fumarate,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter618,Eculizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter623,Efalizumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter634,Emapalumab,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951846,DDInter14,Acetaminophen,B,L04A,DDInter687,Etanercept,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
