pair_id,reference_number,reference_text,source_url,scraped_at
968916,1,"""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories, Philadelphia, PA.",https://ddinter.scbdd.com/ddinter/interact/968916/,2026-09-09T16:56:10+00:00
968916,2,"""Product Information. Cordarone Intravenous (amiodarone)."" Wyeth-Ayerst Laboratories, Philadelphia, PA.",https://ddinter.scbdd.com/ddinter/interact/968916/,2026-09-09T16:56:10+00:00
968916,3,"Fabre G, Julian B, Saint-Aubert B, Joyeux H, Berger Y ""Evidence for CYP3A-mediated N-deethylation of amiodarone in human liver microsomal fractions."" Drug Metab Dispos 21 (1993): 978-85",https://ddinter.scbdd.com/ddinter/interact/968916/,2026-09-09T16:56:10+00:00
968943,1,"Owens RC Jr, Ambrose PG ""Torsades de pointes associated with fluoroquinolones."" Pharmacotherapy 22 (2002): 663-8; discussion 668-72",https://ddinter.scbdd.com/ddinter/interact/968943/,2026-09-09T16:58:32+00:00
968943,2,"""Product Information. Zagam (sparfloxacin)."" Rhone-Poulenc Rorer, Collegeville, PA.",https://ddinter.scbdd.com/ddinter/interact/968943/,2026-09-09T16:58:32+00:00
968943,3,"Owens RC ""Risk assessment for antimicrobial agent-induced QTc interval prolongation and torsades de pointes."" Pharmacotherapy 21 (2001): 301-19",https://ddinter.scbdd.com/ddinter/interact/968943/,2026-09-09T16:58:32+00:00
969117,1,"""Product Information. Norvir (ritonavir)."" Abbott Pharmaceutical, Abbott Park, IL.",https://ddinter.scbdd.com/ddinter/interact/969117/,2026-09-09T16:56:58+00:00
969117,2,"Pharmaceutical Society of Australia ""APPGuide online. Australian prescription products guide online. Available from: URL: http://www.appco.com.au/appguide/default.asp."" ([2006]):",https://ddinter.scbdd.com/ddinter/interact/969117/,2026-09-09T16:56:58+00:00
969117,3,"Cerner Multum, Inc. ""Australian Product Information."" O 0",https://ddinter.scbdd.com/ddinter/interact/969117/,2026-09-09T16:56:58+00:00
969118,1,"""Product Information. Xarelto (rivaroxaban)."" Bayer Inc, Toronto, IA.",https://ddinter.scbdd.com/ddinter/interact/969118/,2026-09-09T16:57:49+00:00
969118,2,"Hooks MA ""Tacrolimus, a new immunosuppressant--a review of the literature."" Ann Pharmacother 28 (1994): 501-11",https://ddinter.scbdd.com/ddinter/interact/969118/,2026-09-09T16:57:49+00:00
969118,3,"""Product Information. Prograf (tacrolimus)."" Fujisawa, Deerfield, IL.",https://ddinter.scbdd.com/ddinter/interact/969118/,2026-09-09T16:57:49+00:00
969191,1,"Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter.scbdd.com/ddinter/interact/969191/,2026-09-09T16:58:21+00:00
969191,2,"""Product Information. Brilinta (ticagrelor)."" Astra-Zeneca Pharmaceuticals, Wilmington, DE.",https://ddinter.scbdd.com/ddinter/interact/969191/,2026-09-09T16:58:21+00:00
970152,1,"""Product Information. Eliquis (apixaban)."" Bristol-Myers Squibb Canada Inc, Montreal, IN.",https://ddinter.scbdd.com/ddinter/interact/970152/,2026-09-09T16:58:28+00:00
970152,2,"Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter.scbdd.com/ddinter/interact/970152/,2026-09-09T16:58:28+00:00
970236,1,"""Product Information. Jardiance (empagliflozin)."" Boehringer Ingelheim, Ridgefield, CT.",https://ddinter.scbdd.com/ddinter/interact/970236/,2026-09-09T16:58:57+00:00
970236,2,"Cerner Multum, Inc. ""Australian Product Information."" O 0",https://ddinter.scbdd.com/ddinter/interact/970236/,2026-09-09T16:58:57+00:00
970236,3,"Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter.scbdd.com/ddinter/interact/970236/,2026-09-09T16:58:57+00:00
