definition_id,severity,mechanism,description,source_url,scraped_at
1264,Moderate,Synergy,"Although diuretics and digitalis glycosides are frequently and appropriately used together, diuretic-induced hypokalemia and hypomagnesemia may predispose patients on digitalis to arrhythmias.",https://ddinter.scbdd.com/ddinter/inter-detail/1264/,2026-09-09T10:09:05+00:00
1280,Moderate,Metabolism,"Coadministration with inhibitors of CYP450 2D6 may increase the plasma concentrations of duloxetine, which is partially metabolized by the isoenzyme. Theoretically, high plasma levels of duloxetine may increase the risk of serious adverse effects such as hypertension, hypertensive crisis, increased heart rate, orthostatic hypotension, syncope, and serotonin syndrome. Serotonin syndrome is a rare but serious and potentially fatal condition thought to result from hyperstimulation of brainstem 5-HT1A and 2A receptors. Symptoms may include mental status changes such as irritability, altered consciousness, confusion, hallucinations, and coma; autonomic dysfunction such as tachycardia, hyperthermia, diaphoresis, shivering, blood pressure lability, and mydriasis; neuromuscular abnormalities such as hyperreflexia, myoclonus, tremor, and ataxia; and gastrointestinal symptoms such as abdominal cramping, nausea, vomiting, and diarrhea.",https://ddinter.scbdd.com/ddinter/inter-detail/1280/,2026-09-09T10:09:05+00:00
1297,Moderate,Antagonism,"The efficacy of insulin and other antidiabetic agents may be diminished by certain drugs, including atypical antipsychotics, corticosteroids, diuretics, estrogens, gonadotropin-releasing hormone agonists, human growth hormone, phenothiazines, progestins, protease inhibitors, sympathomimetic amines, thyroid hormones, L-asparaginase, alpelisib, copanlisib, danazol, diazoxide, isoniazid, megestrol, omacetaxine, phenytoin, tagraxofusp, temsirolimus, as well as pharmacologic dosages of nicotinic acid and adrenocorticotropic agents. These drugs may interfere with blood glucose control because they can cause hyperglycemia, glucose intolerance, new-onset diabetes mellitus, and/or exacerbation of preexisting diabetes.",https://ddinter.scbdd.com/ddinter/inter-detail/1297/,2026-09-09T10:09:05+00:00
1331,Minor,Metabolism,"Ritonavir has a moderate affinity for the CYP450 2C9 microsomal enzyme and may variably affect drugs that are substrates of this enzyme. The area under the plasma concentration-time curves for these drugs may increase or decrease. If concomitant therapy is necessary, close monitoring for therapeutic and adverse effects is strongly recommended.",https://ddinter.scbdd.com/ddinter/inter-detail/1331/,2026-09-09T10:09:05+00:00
1349,Minor,Antagonism,"High doses of salicylates may blunt the antihypertensive effects of beta-blockers. The proposed mechanism is inhibition of prostaglandin synthesis. Low-dose aspirin does not appear to affect blood pressure. In addition, beta-blockers may exert an antiplatelet effect, which may be additive with the effects of some salicylates. Metoprolol may also increase aspirin absorption and/or plasma concentrations of salicylates; however, the clinical significance of this effect is unknown. Data have been conflicting. Until more information is available, patients who require concomitant therapy should be monitored for altered antihypertensive response whenever a salicylate is introduced or discontinued, or when its dosage is modified.",https://ddinter.scbdd.com/ddinter/inter-detail/1349/,2026-09-09T10:09:05+00:00
1350,Moderate,Others,Coadministration with protease inhibitors may alter the plasma concentrations and/or pharmacologic effects of oral anticoagulants. The exact mechanism of interaction is unknown.,https://ddinter.scbdd.com/ddinter/inter-detail/1350/,2026-09-09T10:09:05+00:00
1374,Moderate,Antagonism,"Quinolone antibiotics may interfere with the therapeutic effects of insulin and other antidiabetic agents. The use of quinolones has been associated with disturbances in blood glucose homeostasis possibly stemming from effects on pancreatic beta cell ATP-sensitive potassium channels that regulate insulin secretion. Both hyperglycaemia and hypoglycemia have been reported, usually in diabetic patients receiving concomitant treatment with an oral hypoglycemic agent (e.g., sulfonylurea) or insulin. Although hyperglycaemia is significantly more common and infection itself may be an underlying risk factor, hypoglycemia may cause greater morbidity and mortality.",https://ddinter.scbdd.com/ddinter/inter-detail/1374/,2026-09-09T10:09:05+00:00
1668,Major,Synergy,"Concomitant use of rivaroxaban with other agents that alter hemostasis such as aspirin, nonsteroidal anti-inflammatory drugs (NSAIDs), platelet aggregation inhibitors, other anticoagulants, thrombolytic agents, or drugs that cause thrombocytopenia may increase the risk of bleeding. In patients receiving neuraxial anesthesia or spinal puncture, the risk of developing an epidural or spinal hematoma during rivaroxaban therapy may also be increased by the concomitant use of other drugs that affect coagulation. The development of epidural and spinal hematoma can lead to long-term neurological injury or permanent paralysis.",https://ddinter.scbdd.com/ddinter/inter-detail/1668/,2026-09-09T10:09:05+00:00
2670,Moderate,Metabolism,"Coadministration with inhibitors of CYP450 3A4 and/or P-glycoprotein (P-gp) may increase the plasma concentrations of apixaban, which is a substrate of both the isoenzyme and efflux transporter.",https://ddinter.scbdd.com/ddinter/inter-detail/2670/,2026-09-09T10:09:05+00:00
3602,Moderate,Synergy,"Serotonin reuptake inhibitors (SRIs) may potentiate the risk of bleeding in patients treated with ulcerogenic agents and agents that affect hemostasis such as anticoagulants, platelet inhibitors, thrombin inhibitors, thrombolytic agents, or agents that commonly cause thrombocytopenia. The tricyclic antidepressant, clomipramine, is also a strong SRI and may interact similarly. Serotonin release by platelets plays an important role in hemostasis, thus SRIs may alter platelet function and induce bleeding.",https://ddinter.scbdd.com/ddinter/inter-detail/3602/,2026-09-09T10:09:05+00:00
3871,Major,Synergy,"Concomitant use of apixaban with other agents that alter hemostasis such as aspirin, nonsteroidal anti-inflammatory drugs (NSAIDs), platelet aggregation inhibitors, other anticoagulants, thrombolytic agents, or drugs that cause thrombocytopenia may increase the risk of bleeding. In patients receiving neuraxial anesthesia or spinal puncture, the risk of developing an epidural or spinal hematoma during apixaban therapy may also be increased by the concomitant use of other drugs that affect coagulation. The development of epidural and spinal hematoma can lead to long-term neurological injury or permanent paralysis.",https://ddinter.scbdd.com/ddinter/inter-detail/3871/,2026-09-09T10:09:05+00:00
4343,Major,Synergy,"Quinolones such as ciprofloxacin, gatifloxacin, gemifloxacin, levofloxacin, lomefloxacin, moxifloxacin, norfloxacin, ofloxacin, and sparfloxacin may cause dose-related prolongation of the QT interval in some patients. Coadministration with other agents that can prolong the QT interval may result in elevated risk of ventricular arrhythmias, including ventricular tachycardia and torsade de pointes, because of additive arrhythmogenic potential related to their effects on cardiac conduction.",https://ddinter.scbdd.com/ddinter/inter-detail/4343/,2026-09-09T10:09:05+00:00
4576,Moderate,Metabolism,"Coadministration with moderate inhibitors of CYP450 3A4 may increase the plasma concentrations of ticagrelor, which is primarily metabolized by the isoenzyme.",https://ddinter.scbdd.com/ddinter/inter-detail/4576/,2026-09-09T10:09:05+00:00
4806,Moderate,Metabolism,"Coadministration with weak or moderate dual inhibitors of CYP450 3A4 and P-glycoprotein (P-gp) may increase the plasma concentrations of rivaroxaban, which is a substrate of both the isoenzyme and efflux transporter.",https://ddinter.scbdd.com/ddinter/inter-detail/4806/,2026-09-09T10:09:05+00:00
5141,Moderate,Metabolism,"Coadministration with inhibitors of CYP450 3A4 and/or 2D6 may increase the plasma concentrations of aripiprazole, which is primarily metabolized by these isoenzymes.",https://ddinter.scbdd.com/ddinter/inter-detail/5141/,2026-09-09T10:09:05+00:00
5358,Moderate,Synergy,"The concomitant use of ticagrelor with other platelet inhibitors, anticoagulants, thrombolytic agents, or nonsteroidal anti-inflammatory drugs may increase the risk of bleeding.",https://ddinter.scbdd.com/ddinter/inter-detail/5358/,2026-09-09T10:09:05+00:00
5419,Moderate,Synergy,"Coadministration with diuretics may potentiate the risk of hyponatremia associated with the use of selective serotonin reuptake inhibitors (SSRIs) and serotonin-norepinephrine reuptake inhibitors (SNRIs). Elderly patients and patients taking diuretics or who are otherwise volume-depleted may be at greater risk of developing hyponatremia with SSRIs and SNRIs. Antihypertensive agents such as diuretics may potentiate the orthostatic effect that is occasionally observed upon the initiation of SSRI or SNRI therapy. Syncope and orthostatic hypotension tend to occur within the first week of SNRI/SSRI therapy but can occur at any time during treatment, particularly after a dosage increase. The use of SSRIs or SNRIs may also cause sustained increases in blood pressure and heart rate, which may antagonize the therapeutic effects of antihypertensive medications.",https://ddinter.scbdd.com/ddinter/inter-detail/5419/,2026-09-09T10:09:05+00:00
5547,Major,Metabolism,"Coadministration with azole antifungal agents may significantly increase the plasma concentrations of amiodarone. The proposed mechanism is azole inhibition of CYP450 3A4, the isoenzyme responsible for the metabolic clearance of amiodarone. The use of amiodarone has been associated with prolongation of the QT interval, thus elevated plasma levels of the drug may potentiate the risk of ventricular arrhythmias such as ventricular tachycardia and torsade de pointes as well as cardiac arrest and sudden death. Within the azole class, ketoconazole and itraconazole are considered potent inhibitors, while fluconazole is comparatively weak and generally causes clinically significant interactions with CYP450 3A4 substrates only at dosages of 200 mg/day or more.",https://ddinter.scbdd.com/ddinter/inter-detail/5547/,2026-09-09T10:09:05+00:00
5630,Moderate,Synergy,"Sodium-glucose co-transporter 2 (SGLT-2) inhibitors may potentiate the hypotensive effects of diuretics and other antihypertensive agents or vasodilators. Inhibition of glucose and sodium co-transport produces mild diuresis and transient natriuresis, resulting in intravascular volume contraction. Volume depletion-related adverse reactions including hypotension, postural dizziness, orthostatic hypotension, syncope, and dehydration can occur after initiating treatment with SGLT-2 inhibitors, and the risk may be increased with concomitant use of other agents that can lower blood pressure.",https://ddinter.scbdd.com/ddinter/inter-detail/5630/,2026-09-09T10:09:05+00:00
