url,stage,error,attempts,last_attempt_at
https://ddinter.scbdd.com/ddinter/interact/1143816,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143816,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143816/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143816,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143817,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143817,1,2026-09-09T19:44:49+00:00
https://ddinter.scbdd.com/ddinter/interact/1143817/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143817,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143842,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143842,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143842/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143842,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143852,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143852,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143852/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143852,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143862,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143862,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143862/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143862,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143876,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143876,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143876/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143876,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1143893,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143893,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143893/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143893,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1143957,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143957,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143957/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143957,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1143969,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1143969,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1143969/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1143969,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1144286,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144286,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1144286/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144286,1,2026-09-09T20:06:41+00:00
https://ddinter.scbdd.com/ddinter/interact/1144287,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144287,1,2026-09-09T19:44:50+00:00
https://ddinter.scbdd.com/ddinter/interact/1144287/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144287,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1144294,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144294,1,2026-09-09T19:44:49+00:00
https://ddinter.scbdd.com/ddinter/interact/1144294/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144294,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1144307,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144307,1,2026-09-09T19:44:52+00:00
https://ddinter.scbdd.com/ddinter/interact/1144307/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144307,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1144311,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144311,1,2026-09-09T19:44:51+00:00
https://ddinter.scbdd.com/ddinter/interact/1144311/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144311,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1144313,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144313,1,2026-09-09T19:44:51+00:00
https://ddinter.scbdd.com/ddinter/interact/1144313/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144313,1,2026-09-09T20:06:42+00:00
https://ddinter.scbdd.com/ddinter/interact/1144321,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144321,1,2026-09-09T19:44:51+00:00
https://ddinter.scbdd.com/ddinter/interact/1144321/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144321,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144335,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144335,1,2026-09-09T19:44:52+00:00
https://ddinter.scbdd.com/ddinter/interact/1144335/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144335,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144342,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144342,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144342/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144342,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144350,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144350,1,2026-09-09T19:44:53+00:00
https://ddinter.scbdd.com/ddinter/interact/1144350/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144350,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144351,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144351,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144351/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144351,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144357,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144357,1,2026-09-09T19:44:53+00:00
https://ddinter.scbdd.com/ddinter/interact/1144357/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144357,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144369,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144369,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144369/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144369,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144371,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144371,1,2026-09-09T19:44:53+00:00
https://ddinter.scbdd.com/ddinter/interact/1144371/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144371,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144381,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144381,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144381/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144381,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144410,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144410,1,2026-09-09T19:44:53+00:00
https://ddinter.scbdd.com/ddinter/interact/1144410/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144410,1,2026-09-09T20:06:43+00:00
https://ddinter.scbdd.com/ddinter/interact/1144418,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144418,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144418/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144418,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144419,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144419,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144419/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144419,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144427,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144427,1,2026-09-09T19:46:27+00:00
https://ddinter.scbdd.com/ddinter/interact/1144427/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144427,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144433,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144433,1,2026-09-09T19:44:54+00:00
https://ddinter.scbdd.com/ddinter/interact/1144433/,target_definition_link,Checker metadata loaded but no real definition matches targeted legacy pair 1144433,1,2026-09-09T20:06:44+00:00
https://ddinter.scbdd.com/ddinter/interact/1144437,target_definition_link,Real definition_id still unresolved for enriched legacy pair 1144437,1,2026-09-09T19:44:54+00:00
